device_id,wifi_ssid,wifi_rssi,temperature,humidity,timestamp
esp32_real_01,IoT_Net_2.4G,-83,22.88,43.63,2026-05-20T20:33:03.539332
esp32_real_01,IoT_Net_2.4G,-57,28.42,41.48,2026-05-20T20:33:05.539370
esp32_real_01,IoT_Net_2.4G,-58,28.0,46.62,2026-05-20T20:33:07.539458
esp32_real_01,IoT_Net_2.4G,-48,27.03,51.93,2026-05-20T20:33:09.539480
esp32_real_01,IoT_Net_2.4G,-80,20.5,58.56,2026-05-20T20:33:11.539566
esp32_real_01,IoT_Net_2.4G,-41,28.4,55.8,2026-05-20T20:33:13.539248
esp32_real_01,IoT_Net_2.4G,-51,27.72,59.35,2026-05-20T20:33:15.539278
esp32_real_01,IoT_Net_2.4G,-77,27.48,57.75,2026-05-20T20:33:17.539496
esp32_real_01,IoT_Net_2.4G,-61,22.81,47.29,2026-05-20T20:33:19.539243
esp32_real_01,IoT_Net_2.4G,-70,24.78,40.78,2026-05-20T20:33:21.539298
esp32_real_01,IoT_Net_2.4G,-73,29.54,57.58,2026-05-20T20:33:23.539364
esp32_real_01,IoT_Net_2.4G,-50,29.45,54.36,2026-05-20T20:33:25.539246
esp32_real_01,IoT_Net_2.4G,-82,25.08,53.55,2026-05-20T20:33:27.539552
esp32_real_01,IoT_Net_2.4G,-53,27.4,52.17,2026-05-20T20:33:29.539487
esp32_real_01,IoT_Net_2.4G,-72,21.7,51.74,2026-05-20T20:33:31.539194
esp32_real_01,IoT_Net_2.4G,-43,20.36,54.96,2026-05-20T20:33:33.539598
esp32_real_01,IoT_Net_2.4G,-83,25.28,50.21,2026-05-20T20:33:35.539241
esp32_real_01,IoT_Net_2.4G,-50,24.95,56.57,2026-05-20T20:33:37.539353
esp32_real_01,IoT_Net_2.4G,-52,29.09,54.04,2026-05-20T20:33:39.539325
esp32_real_01,IoT_Net_2.4G,-43,20.04,48.63,2026-05-20T20:33:41.539587
esp32_real_01,IoT_Net_2.4G,-76,27.77,58.02,2026-05-20T20:33:43.539421
esp32_real_01,IoT_Net_2.4G,-58,29.85,58.83,2026-05-20T20:33:45.539613
esp32_real_01,IoT_Net_2.4G,-69,27.55,48.93,2026-05-20T20:33:47.539533
esp32_real_01,IoT_Net_2.4G,-61,22.0,56.55,2026-05-20T20:33:49.539674
esp32_real_01,IoT_Net_2.4G,-49,27.96,40.08,2026-05-20T20:33:51.539501
esp32_real_01,IoT_Net_2.4G,-51,23.88,51.81,2026-05-20T20:33:53.539498
esp32_real_01,IoT_Net_2.4G,-82,30.0,51.72,2026-05-20T20:33:55.539456
esp32_real_01,IoT_Net_2.4G,-53,27.09,46.32,2026-05-20T20:33:57.539616
esp32_real_01,IoT_Net_2.4G,-83,22.51,43.11,2026-05-20T20:33:59.539254
esp32_real_01,IoT_Net_2.4G,-52,20.28,57.47,2026-05-20T20:34:01.539645
esp32_real_01,IoT_Net_2.4G,-48,23.25,53.75,2026-05-20T20:34:03.539356
esp32_real_01,IoT_Net_2.4G,-75,22.02,57.74,2026-05-20T20:34:05.539530
esp32_real_01,IoT_Net_2.4G,-49,27.25,48.21,2026-05-20T20:34:07.539409
esp32_real_01,IoT_Net_2.4G,-40,20.9,42.95,2026-05-20T20:34:09.539298
esp32_real_01,IoT_Net_2.4G,-70,21.83,59.62,2026-05-20T20:34:11.539280
esp32_real_01,IoT_Net_2.4G,-84,27.62,42.97,2026-05-20T20:34:13.539372
esp32_real_01,IoT_Net_2.4G,-66,27.6,53.64,2026-05-20T20:34:15.539463
esp32_real_01,IoT_Net_2.4G,-72,20.99,51.76,2026-05-20T20:34:17.539543
esp32_real_01,IoT_Net_2.4G,-84,22.56,52.29,2026-05-20T20:34:19.539482
esp32_real_01,IoT_Net_2.4G,-70,24.41,44.44,2026-05-20T20:34:21.539605
esp32_real_01,IoT_Net_2.4G,-45,24.4,41.81,2026-05-20T20:34:23.539661
esp32_real_01,IoT_Net_2.4G,-49,27.68,46.85,2026-05-20T20:34:25.539273
esp32_real_01,IoT_Net_2.4G,-74,29.17,47.83,2026-05-20T20:34:27.539616
esp32_real_01,IoT_Net_2.4G,-48,21.92,46.58,2026-05-20T20:34:29.539460
esp32_real_01,IoT_Net_2.4G,-41,26.69,54.9,2026-05-20T20:34:31.539327
esp32_real_01,IoT_Net_2.4G,-60,24.75,41.3,2026-05-20T20:34:33.539353
esp32_real_01,IoT_Net_2.4G,-48,25.41,43.54,2026-05-20T20:34:35.539436
esp32_real_01,IoT_Net_2.4G,-49,28.18,55.19,2026-05-20T20:34:37.539692
esp32_real_01,IoT_Net_2.4G,-74,24.24,56.72,2026-05-20T20:34:39.539295
esp32_real_01,IoT_Net_2.4G,-75,25.97,42.5,2026-05-20T20:34:41.539644
esp32_real_01,IoT_Net_2.4G,-49,24.07,57.58,2026-05-20T20:34:43.539542
esp32_real_01,IoT_Net_2.4G,-71,21.08,53.33,2026-05-20T20:34:45.539602
esp32_real_01,IoT_Net_2.4G,-55,29.34,59.73,2026-05-20T20:34:47.539540
esp32_real_01,IoT_Net_2.4G,-50,20.27,42.08,2026-05-20T20:34:49.539643
esp32_real_01,IoT_Net_2.4G,-41,23.39,55.81,2026-05-20T20:34:51.539291
esp32_real_01,IoT_Net_2.4G,-50,24.56,40.04,2026-05-20T20:34:53.539324
esp32_real_01,IoT_Net_2.4G,-59,21.31,40.89,2026-05-20T20:34:55.539420
esp32_real_01,IoT_Net_2.4G,-69,29.87,54.93,2026-05-20T20:34:57.539669
esp32_real_01,IoT_Net_2.4G,-70,23.35,49.97,2026-05-20T20:34:59.539621
esp32_real_01,IoT_Net_2.4G,-58,21.23,47.49,2026-05-20T20:35:01.539229
esp32_real_01,IoT_Net_2.4G,-82,22.15,41.73,2026-05-20T20:35:03.539492
esp32_real_01,IoT_Net_2.4G,-43,23.22,45.65,2026-05-20T20:35:05.539384
esp32_real_01,IoT_Net_2.4G,-49,24.01,49.7,2026-05-20T20:35:07.539518
esp32_real_01,IoT_Net_2.4G,-74,25.14,42.13,2026-05-20T20:35:09.539517
esp32_real_01,IoT_Net_2.4G,-43,25.21,55.74,2026-05-20T20:35:11.539472
esp32_real_01,IoT_Net_2.4G,-47,25.19,45.35,2026-05-20T20:35:13.539562
esp32_real_01,IoT_Net_2.4G,-76,26.62,52.77,2026-05-20T20:35:15.539623
esp32_real_01,IoT_Net_2.4G,-69,27.9,43.77,2026-05-20T20:35:17.539300
esp32_real_01,IoT_Net_2.4G,-60,27.62,59.89,2026-05-20T20:35:19.539538
esp32_real_01,IoT_Net_2.4G,-85,20.13,45.65,2026-05-20T20:35:21.539340
esp32_real_01,IoT_Net_2.4G,-62,22.34,42.08,2026-05-20T20:35:23.539447
esp32_real_01,IoT_Net_2.4G,-52,25.33,58.8,2026-05-20T20:35:25.539624
esp32_real_01,IoT_Net_2.4G,-83,22.97,48.04,2026-05-20T20:35:27.539535
esp32_real_01,IoT_Net_2.4G,-68,27.88,50.44,2026-05-20T20:35:29.539612
esp32_real_01,IoT_Net_2.4G,-68,20.57,46.37,2026-05-20T20:35:31.539393
esp32_real_01,IoT_Net_2.4G,-57,20.51,52.55,2026-05-20T20:35:33.539538
esp32_real_01,IoT_Net_2.4G,-85,28.68,54.62,2026-05-20T20:35:35.539310
esp32_real_01,IoT_Net_2.4G,-58,27.47,52.49,2026-05-20T20:35:37.539482
esp32_real_01,IoT_Net_2.4G,-71,25.66,46.53,2026-05-20T20:35:39.539314
esp32_real_01,IoT_Net_2.4G,-51,21.95,43.67,2026-05-20T20:35:41.539365
esp32_real_01,IoT_Net_2.4G,-65,23.24,56.25,2026-05-20T20:35:43.539666
esp32_real_01,IoT_Net_2.4G,-50,20.04,53.88,2026-05-20T20:35:45.539329
esp32_real_01,IoT_Net_2.4G,-61,27.31,56.38,2026-05-20T20:35:47.539575
esp32_real_01,IoT_Net_2.4G,-49,26.45,51.79,2026-05-20T20:35:49.539370
esp32_real_01,IoT_Net_2.4G,-41,24.05,55.38,2026-05-20T20:35:51.539663
esp32_real_01,IoT_Net_2.4G,-47,26.96,48.68,2026-05-20T20:35:53.539399
esp32_real_01,IoT_Net_2.4G,-65,22.05,45.85,2026-05-20T20:35:55.539550
esp32_real_01,IoT_Net_2.4G,-66,20.61,54.68,2026-05-20T20:35:57.539652
esp32_real_01,IoT_Net_2.4G,-51,25.1,41.02,2026-05-20T20:35:59.539514
esp32_real_01,IoT_Net_2.4G,-79,22.56,43.85,2026-05-20T20:36:01.539247
esp32_real_01,IoT_Net_2.4G,-44,28.63,46.56,2026-05-20T20:36:03.539570
